Articulo,bpc,E/C,Litros,Jarabe
Coca Cola 600 ml NRP 12P,12,CCE,0.6,6.4
Coca Cola light 600 ml NRP12 Pack,12,,0.6,6.4
Cristal Fresa 1.75L NRP 9pz,9,,1.75,6.4
Coca Cola 3L NRP 6 P,6,CCE,3,6.4
Cristal Mineralizada 355 ml RV 24P,24,,0.355,6.4
Coca Cola 600ml NRP 6 Pk,6,,0.6,6.4
Coca Cola Light 600ml NRP 6 Pk,6,,0.6,6.4
Coca Cola 355 ML RV 24,24,Clasica,0.355,6.4
Valle Frut Uva 2 Lts NRP 6P,6,,2,4
Fanta 1.35L NRP 12pz,12,,1.35,5.4
AguaPurificada Litro 6Pack ATS,6,,,
Valle Frut Naranja 2L NRP,6,,2,4
Fanta Uva 300ml NRP 6P,6,,0.3,
Tanque de CO2 8 KG,,,,
Cristal Negra 600 ML NRP 6 P,6,,0.6,6.4
Tanque de CO2 20 KG,,,,
Cristal Cebada 600 ML NRP 6 P,6,,0.6,6.4
Cristal Fresa 600ml NRP 6 Pzas,6,,0.6,6.4
Cristal Fresa 600 ml NRP12 Pack,12,,0.6,6.4
Coca Cola 2.5L NRP 2 P,2,,2.5,6.4
CC 1L RV 12Pzs,12,CCE,1,6.4
Cristal Fresa 1.35L NRP 12pz,12,,1.35,6.4
Bevi Chocolate 240 ml NRV24 Pack,24,,,
Cristal Té Negro 1L NRP 6 Pzas,6,,1,6.4
Coca Cola 3L Ret 6P,6,CCE,3,6.4
Cristal Cebada 1.35L NRP 12pz,12,,1.35,6.4
Mundet Manzana 600 ML NRP 9P,9,,0.6,5.4
Sprite 2.5L NRP 6P,6,,2.5,6.4
Ciel Exprim Jmca 1L NRP 6P,6,,,
FANTA NARANJA 3 L NRP 6 P,6,,3,5.4
Ciel Exprim Limón 1L NRP 6P,6,,,
Ciel Exprim Fresa 1L NRP 6P,6,,,
Coca Cola 600 ml NRP24 Pack,24,CCE,0.6,6.4
Coca Cola 2.5L NRP 8P,8,CCE,2.5,6.4
CC 1.35L NRP 12pz,12,CCE,1.35,6.4
Coca Cola 2.5L RP,8,CCE,2.5,6.4
Coca Cola 500 ML RV 24 P,24,Clasica,0.5,6.4
Coca Cola 1.75L NRP 9P,9,CCE,1.75,6.4
Bipack CCL 1.75L NRP,2,,1.75,
Dual CC&Fresca 1.75L NRP,2,,,
Mundet Mza 1.75L NRP 9pz,9,,1.75,5.4
Mundet Manzana 3L NRP 6P,6,,3,5.4
COCA COLA 1.5 LTS RP 12P,12,CCE,1.5,6.4
CC sin Azúcar 600 ml NRP 12P,12,,0.6,6.4
Fanta Piña 300ml NRP 6P,6,,0.3,
Coca Cola 450 ml NRP 24 Pzas,24,CCE,0.45,6.4
Surt 9CCO+3CCSA 600ml NRP 12P,12,,,
Cristal Cebada 1.75L NRP 9pz,9,,1.75,6.4
MUNDET MANZANA 300 ML NRP 12 PZAS,12,,0.3,5.4
FRESCA 600 ML NRP 9 P,9,,0.6,6.4
Cristal Negra 500 ml VR 24 P,24,,0.5,6.4
Cristal Negra 600 ml NRP12 Pack,12,,0.6,6.4
Cristal Fresa 500 ml VR 24 P,24,,0.5,6.4
Cristal Cebada 600 ml NRP12 Pack,12,,0.6,6.4
Valle Frut Piña 3L NRP 6Pz,6,,,4
Cristal Mineralizada 1.75L NRP 9P,9,,1.75,6.4
Del Valle Fizz Limonada 600ml NRP 9P,9,,0.6,
DEL VALLE FIZZ NARANJADA 600 ML NRP 9P,9,,0.6,5
Surt Cristal Nga+Fsa 300ml NRP 12P,12,,0.3,
Fanta Naranja 2.5L NRP6 Pack,6,,2.5,5.4
Fresca Toronja 3 LT NRP 6 P,6,,3,6.4
Valle Frut Citrus Puch 3 Lts NRP 6 Pzas,6,,3,4
Coca Cola 355 ml NRP 12P,12,CCE,0.355,6.4
Cristal Mineralizada 600 ml NRP 12P,12,,0.6,6.4
AP Cristal 600 ml 6 Pack,6,,,
Cristal Negra 2.5L NRP 6P,6,,2.5,6.4
Sprite 3Lts NRP 6P,6,,3,6.4
Cristal Mineralzda 2.5L NRP 6P,6,,2.5,6.4
CC sin Azúcar 355 ml NRP 12P,12,,0.355,6.4
FANTA 300 ML NRP 12 PIEZAS,12,,0.3,5.4
Coca Cola Zero 500ml RV 24P,24,,0.5,6.4
FRESCA FUSIÓN 300 ML NRP 12P,12,,0.3,6.4
Fanta Uva 300ml NRP 12P,12,,0.3,
CC Sin Azúcar 1.35L NRP 12pz,12,,1.35,6.4
CC Light 1.35L NRP 12pz,12,,,6.4
Fresca 1.75L NRP 9pz,9,,1.75,6.4
Sprite1.75L NRP 9pz,9,,1.75,6.4
Coca Cola Zero 2.5L NRP 6P,6,,2.5,6.4
Fresca Toronja 2.5L NRP 6 P,6,,2.5,6.4
Cristal Fresa 2.5L NRP 6P,6,,2.5,6.4
Sprite 1.35L NRP 12pz,12,,1.35,6.4
Mundet Manzana 500 ML RV 24 P,24,,0.5,5.4
Cristal Cebada 2.5L NRP 6P,6,,2.5,6.4
Cristal Fresa 3LT NRP 6 P,6,,3,6.4
FANTA 600 ML NRP 9P,9,,0.6,5.4
Fresca 1.35L NRP 12pz,12,,1.35,6.4
Cristal Negra 1.35L NRP 12pz,12,,1.35,6.4
Mundet Mza 1.35L NRP 12pz,12,,1.35,5.4
Mundet Manzana 2.5 L NRP 6 P,6,,2.5,5.4
Bipack CCSA 2.5L NRP,2,,,
Coca Cola + Mundet 2.5L NRP 2P,2,,,
SPRITE 600 ML NRP 9 P,9,,0.6,6.4
Coca Cola Light 1.75L NR 9pz,9,,1.75,6.4
Cristal Negra 1.75L NRP 9pz,9,,1.75,6.4
Fanta Nja 1.75L NRP 9pz,9,,1.75,5.4
Fresca Fusión 1.75L NRP 9P,9,,1.75,6.4
Valle Frut Uva 3L NRP 6Pz,6,,3,4
Cristal Negra 3Lts NRP 6P,6,,3,6.4
CRISTAL MINERALZDA 300 ML NRP 12P,12,,0.3,6.4
CRISTAL FRESA 300 ML NRP 12P,12,,0.3,6.4
